_id,id,titleText,releaseYear,releaseDate
61e57fd65c5338f43c777f68,tt0000152,"{'text': ""L'hallucination de l'alchimiste"", '__typename': 'TitleText'}","{'year': 1897, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': None, 'year': 1897, '__typename': 'ReleaseDate'}"
61e57fd65c5338f43c777f6a,tt0000132,"{'text': 'Une partie de cartes', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': None, 'year': 1896, '__typename': 'ReleaseDate'}"
61e57fd66b25956a02777f4a,tt0000107,"{'text': 'Revue navale à Cherbourg', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd66b25956a02777f4c,tt0000095,"{'text': 'Le papier protée', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd66b25956a02777f4e,tt0000161,"{'text': 'Leçon de danse', '__typename': 'TitleText'}","{'year': 1897, 'endYear': None, '__typename': 'YearRange'}",
61e57fd66b25956a02777f50,tt0000100,"{'text': 'Place de la Concorde', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}",
61e57fd66b25956a02777f52,tt0000075,"{'text': ""Escamotage d'une dame au théâtre Robert Houdin"", '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': 10, 'year': 1896, '__typename': 'ReleaseDate'}"
61e57fd66b25956a02777f54,tt0000051,"{'text': 'Campement de bohémiens', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': None, 'year': 1896, '__typename': 'ReleaseDate'}"
61e57fd66b25956a02777f56,tt0000003,"{'text': 'Pauvre Pierrot', '__typename': 'TitleText'}","{'year': 1892, 'endYear': None, '__typename': 'YearRange'}","{'day': 28, 'month': 10, 'year': 1892, '__typename': 'ReleaseDate'}"
61e57fd66b25956a02777f58,tt0000030,"{'text': 'Rough Sea at Dover', '__typename': 'TitleText'}","{'year': 1895, 'endYear': None, '__typename': 'YearRange'}","{'day': 14, 'month': 1, 'year': 1896, '__typename': 'ReleaseDate'}"
61e57fd66b25956a02777f5a,tt0000181,"{'text': 'Cinderella', '__typename': 'TitleText'}","{'year': 1898, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': 8, 'year': 1898, '__typename': 'ReleaseDate'}"
61e57fd66b25956a02777f5c,tt0000186,"{'text': 'Le cuirassé Maine', '__typename': 'TitleText'}","{'year': 1898, 'endYear': None, '__typename': 'YearRange'}",
61e57fd66b25956a02777f5e,tt0000208,"{'text': 'The Miller and the Sweep', '__typename': 'TitleText'}","{'year': 1897, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': 7, 'year': 1897, '__typename': 'ReleaseDate'}"
61e57fd66b25956a02777f60,tt0000052,"{'text': 'Carga de rurales', '__typename': 'TitleText'}","{'year': 1896, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': None, 'year': 1896, '__typename': 'ReleaseDate'}"
61e57fd66b25956a02777f62,tt0000253,"{'text': ""The Miser's Doom"", '__typename': 'TitleText'}","{'year': 1899, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': 9, 'year': 1899, '__typename': 'ReleaseDate'}"
61e57fd66b25956a02777f64,tt0000177,"{'text': 'The Burglar on the Roof', '__typename': 'TitleText'}","{'year': 1898, 'endYear': None, '__typename': 'YearRange'}","{'day': None, 'month': 9, 'year': 1898, '__typename': 'ReleaseDate'}"
